지역,메뉴,단가,수량,매출
대전,바닐라라떼,4500,3,13500
대전,바닐라라떼,4000,5,20000
부산,아메리카노,6000,5,30000
대전,아메리카노,5500,4,22000
대전,카페라떼,4000,1,4000
서울,아메리카노,6000,1,6000
대전,카페라떼,4000,2,8000
대전,아메리카노,5000,4,20000
부산,카페라떼,4000,2,8000
부산,바닐라라떼,4000,2,8000
광주,아메리카노,4000,2,8000
서울,아메리카노,5500,3,16500
대전,아메리카노,4000,3,12000
